Negara;Tahun;A;B;C;D;E;F;G;H;I;J;K;L;M
Iran;2011;-0,88;-0,45;-1,42;-0,97;-1,52;-1,58;735;12,1;14,9;2,65;3,485;6,098;12,491
Iran;2012;-0,80;-0,54;-1,32;-0,92;-1,43;-1,60;701;5,7;14,2;-3,75;2,939;6,122;12,275
Iran;2013;-0,69;-0,69;-1,25;-1,00;-1,49;-1,61;785;-12,7;13,8;-1,52;2,853;5,547;10,595
Iran;2014;-0,63;-0,44;-0,87;-1,05;-1,46;-1,58;897;-1,1;14,3;4,98;2,617;6,352;10,68
Iran;2015;-0,63;-0,25;-0,92;-0,94;-1,34;-1,51;1030;5,4;13,9;-1,42;2,629;7,533;11,166
Iran;2016;-0,74;-0,24;-0,81;-0,70;-1,25;-1,34;1150;-3,5;14,9;8,82;3,174;7,992;12,618
Iran;2017;-0,84;-0,24;-0,93;-0,70;-1,22;-1,30;1280;12,4;15,1;2,76;3,460;7,835;12,232
Iran;2018;-0,98;-0,48;-1,34;-0,71;-1,40;-1,33;1460;6,6;14,6;-1,84;3,620;7,739;12,195
Iran;2019;-1,07;-0,60;-1,71;-0,77;-1,44;-1,39;1630;-17,1;14;-3,07;3,240;6,274;10,74
Iran;2020;-1,11;-1,02;-1,70;-0,89;-1,49;-1,48;1790;9,8;14,4;3,33;3,205;5,401;9,687
Iran;2021;-1,12;-0,89;-1,58;-0,97;-1,63;-1,47;1890;10,4;15;4,72;3,133;5,770;9,282
Iran;2022;-1,13;-0,88;-1,63;-1,02;-1,59;-1,46;1690;2,1;15,3;3,78;3,060;5,698;9,085
Iran;2023;-1,23;-1,02;-1,69;-1,06;-1,69;-1,45;1980;12,8;15,9;5,04;2,929;5,566;9,041
