Kabupaten,Tahun,PDRB,PE(%),TPT(%),Kemiskinan_(P0)_(%),IPM , Anggaran_PAD, Realisasi_PAD, Anggaran_Transf, Realisasi_Transf, Ekonomi, Kesehatan, Pendidikan
Sinjai,2015,5415.38,7.55,1.55,9.26,64.48,50.70,75.60,630.66,721.96,63.04,156.04,327.80
Sinjai,2016,5799.31,7.09,3.04,9.41,65.36,57.70,79.49,1007.33,985.34,84.04,249.66,350.34
Sinjai,2017,6218.64,7.23,4.53,9.24,65.8,66.38,113.97,938.37,919.66,61.75,201.61,316.92
Sinjai,2018,6681.25,7.44,2.14,9.28,66.24,74.96,95.22,932.99,964.68,71.98,198.09,311.00
Sinjai,2019,7090.28,6.12,2.17,9.14,67.05,90.40,102.32,963.22,946.80,61.05,267.24,332.31
Sinjai,2020,7200.23,1.55,2.65,9,67.6,100.44,98.60,989.99,914.88,36.38,282.78,329.04
Sinjai,2021,7576.83,5.23,2.61,8.84,67.75,99.29,95.60,1025.19,1000.87,76.88,330.45,362.49
Sinjai,2022,7945.62,4.87,1.8,8.8,68.33,103.20,98.39,946.26,939.08,154.60,250.75,347.85
Sinjai,2023,8399.43,5.71,1.69,8.55,68.92,92.70,100.96,945.17,950.31,203.46,252.43,385.68
Sinjai,2024,8833.54,5.17,1.52,7.82,69.52,109.10,103.02,925.64,862.33,125.56,267.28,401.13
Soppeng,2015,5131.72,5.11,2.96,8.36,65.33,58.06,68.40,672.84,741.16,54.59,157.24,347.81
Soppeng,2016,5547.69,8.11,2.84,8.45,65.95,59.82,91.12,1071.05,1086.30,51.33,179.59,410.57
Soppeng,2017,6007.46,8.29,2.71,8.29,66.67,80.11,125.89,992.46,977.37,48.31,207.18,341.17
Soppeng,2018,6494.39,8.11,2.66,7.5,67.6,90.25,131.61,958.54,948.04,56.79,229.67,340.51
Soppeng,2019,6993.53,7.69,3.24,7.25,68.26,106.94,138.45,991.91,973.58,57.90,241.32,371.87
Soppeng,2020,7146.65,2.19,4.42,7.59,68.67,126.66,151.86,990.90,916.12,37.92,264.26,366.48
Soppeng,2021,7585.98,6.15,3.92,7.53,68.99,127.83,155.46,1007.50,970.64,59.57,268.91,383.00
Soppeng,2022,8054.42,6.18,3.4,7.49,69.7,155.39,142.98,956.99,931.66,272.79,91.84,98.09
Soppeng,2023,8322.53,3.33,4.34,7.48,70.58,155.28,166.34,907.81,924.62,232.59,269.68,384.99
Soppeng,2024,8660.66,4.06,3.33,6.9,71.39,170.70,228.32,970.50,896.61,117.24,259.33,401.56
Takalar,2015,4931.54,8.42,4.04,9.48,64.07,97.97,74.83,637.13,745.29,74.07,159.44,344.37
Takalar,2016,5405.32,9.61,4.49,9.35,64.96,105.12,95.63,1030.28,1020.89,69.92,247.33,373.31
Takalar,2017,5803.94,7.37,4.93,9.24,65.48,111.68,111.70,872.18,892.76,62.48,203.92,295.80
Takalar,2018,6190.67,6.66,3.88,9,66.07,161.42,125.19,959.10,939.25,58.27,244.93,331.79
Takalar,2019,6616.25,6.87,3.78,8.7,66.94,140.82,104.83,957.52,930.63,56.92,238.55,325.93
Takalar,2020,6575.76,-0.61,4.16,8.44,67.31,160.86,126.86,934.19,878.26,63.33,262.90,274.52
Takalar,2021,6908.05,5.05,3.93,8.25,67.72,195.86,121.89,884.75,872.83,82.60,230.29,365.62
Takalar,2022,7228.4,4.64,2.63,8.25,68.31,304.46,99.10,911.10,885.10,240.21,437.56,332.37
Takalar,2023,7507.06,3.86,3.58,8.29,68.9,116.78,50.50,925.95,929.23,162.89,275.05,374.20
Takalar,2024,7832.68,4.34,3.84,7.75,69.47,264.74,133.13,955.41,898.41,139.40,303.04,401.71
Tana Toraja,2015,3417.3,6.85,3.99,12.46,65.75,69.46,79.26,599.16,707.74,68.95,151.52,135.55
Tana Toraja,2016,3666.48,7.29,4.80,12.36,66.25,76.97,101.99,918.61,827.93,20.74,34.15,15.03
Tana Toraja,2017,3940.52,7.47,5.6,12.62,66.82,106.00,140.42,772.98,910.15,62.31,175.40,207.75
Tana Toraja,2018,4251.26,7.89,3.07,12.75,67.66,160.00,106.11,802.44,892.37,52.21,189.64,200.89
Tana Toraja,2019,4558.14,7.22,2.55,12.35,68.25,187.75,119.46,965.25,938.20,52.04,212.10,204.96
Tana Toraja,2020,4545.29,-0.28,2.6,12.1,68.75,128.56,110.94,840.75,757.97,32.52,201.08,207.14
Tana Toraja,2021,4780.98,5.19,3.09,12.27,69.49,124.31,87.88,932.74,879.01,47.16,229.92,214.40
Tana Toraja,2022,5025.78,5.12,2.32,12.18,69.88,125.50,155.61,949.14,918.95,189.84,192.65,150.62
Tana Toraja,2023,5209.56,3.66,3.37,12.48,70.73,137.50,127.50,941.49,932.40,156.09,240.52,336.41
Tana Toraja,2024,5480.43,5.20,3.98,10.79,71.67,125.62,112.89,990.85,580.09,99.12,281.52,408.16
Toraja Utara,2015,3782.8,7.76,3.11,15.19,66.76,27.55,33.81,570.95,591.13,79.32,74.31,210.43
Toraja Utara,2016,4085.69,8.01,3.68,14.57,67.49,41.38,34.90,845.62,794.46,56.81,84.13,218.59
Toraja Utara,2017,4421.68,8.22,4.24,14.41,67.9,101.62,44.17,788.18,796.30,11.44,11.12,26.76
Toraja Utara,2018,4778.53,8.07,2.88,13.37,68.49,58.56,52.71,918.69,905.51,75.43,146.35,222.46
Toraja Utara,2019,5140.01,7.56,2.86,12.41,69.23,56.22,64.63,952.76,932.24,76.65,135.00,254.66
Toraja Utara,2020,5148.55,0.17,3.17,12.01,69.33,73.65,55.67,926.93,828.66,68.49,138.43,294.58
Toraja Utara,2021,5357.13,4.05,2.61,11.99,69.75,89.65,45.46,876.86,844.22,138.20,169.81,319.84
Toraja Utara,2022,5639.38,5.27,1.99,11.65,70.36,69.84,42.87,878.01,855.02,123.80,133.50,318.54
Toraja Utara,2023,5861.32,3.94,2.6,12.12,71.23,77.04,46.76,848.69,852.36,102.73,141.84,367.17
Toraja Utara,2024,6124.34,4.49,2.44,10.73,71.85,53.74,26.14,1024.38,661.66,120.81,227.30,414.00
Wajo,2015,11071.65,7.06,5.39,7.66,66.9,82.19,114.35,852.09,907.70,89.63,164.04,311.93
Wajo,2016,11620.74,4.96,4.23,7.47,67.52,111.89,117.78,1315.91,1209.54,128.71,250.16,321.84
Wajo,2017,12225.77,5.21,3.06,7.38,68.18,128.07,177.73,1276.23,1227.37,117.98,233.80,287.22
Wajo,2018,12357.35,1.08,3.79,7.5,68.57,138.61,134.00,1218.95,1169.49,92.79,218.25,314.96
Wajo,2019,12858.45,4.06,3,6.91,69.05,155.45,142.16,1277.78,1227.49,89.29,242.58,331.87
Wajo,2020,12708.31,-1.17,4.33,6.95,69.15,144.51,143.73,1309.58,1142.95,61.58,259.68,339.76
Wajo,2021,13569.28,6.77,4.32,6.46,69.62,145.53,150.06,1215.75,1188.63,234.02,284.56,347.59
Wajo,2022,13891.79,2.38,2.54,6.57,70.26,165.58,139.02,1210.30,1186.39,181.48,288.57,321.98
Wajo,2023,14090.79,1.43,2.1,6.73,71.1,155.52,168.28,1216.23,1233.85,248.41,254.35,362.57
Wajo,2024,14727.12,4.52,2.31,6.47,71.52,186.95,149.67,1300.63,843.01,153.35,368.26,377.35
