Date,Open,High,Low,Close,Adj Close,Volume
"Dec 19, 2023",7116.56,7187.86,7112.83,7187.86,7187.86,155446500.00
"Dec 18, 2023",7181.44,7192.90,7092.04,7119.53,7119.53,239480200.00
"Dec 15, 2023",7183.16,7215.95,7169.44,7190.10,7190.10,207901200.00
"Dec 14, 2023",7134.05,7191.17,7115.46,7176.03,7176.03,228648300.00
"Dec 13, 2023",7110.09,7124.49,7045.95,7075.35,7075.35,182766500.00
"Dec 12, 2023",7104.98,7134.23,7082.89,7125.32,7125.32,255110500.00
"Dec 11, 2023",7139.29,7153.13,7045.18,7088.80,7088.80,490104800.00
"Dec 8, 2023",7134.63,7201.64,7123.05,7159.61,7159.61,270037600.00
"Dec 7, 2023",7087.41,7134.63,7041.02,7134.63,7134.63,235230700.00
"Dec 6, 2023",7100.86,7140.17,7085.82,7087.41,7087.41,272847500.00
"Dec 5, 2023",7093.07,7117.59,7047.64,7100.86,7100.86,319577000.00
"Dec 4, 2023",7060.05,7149.25,7060.05,7093.61,7093.61,308380600.00
"Dec 1, 2023",7080.07,7083.87,7022.78,7059.92,7059.92,265990100.00
"Nov 30, 2023",7036.10,7109.62,7036.10,7080.75,7080.75,259745500.00
"Nov 29, 2023",7041.08,7070.20,7020.02,7036.10,7036.10,167555900.00
"Nov 28, 2023",7013.42,7067.15,7010.84,7041.08,7041.08,167633600.00
"Nov 27, 2023",7009.64,7061.84,7008.82,7013.42,7013.42,163462500.00
"Nov 24, 2023",7004.49,7049.55,7000.11,7009.64,7009.64,181146200.00
"Nov 23, 2023",6907.10,7018.44,6906.62,7004.35,7004.35,219080000.00
"Nov 22, 2023",6961.80,6965.42,6893.52,6906.96,6906.96,181914600.00
"Nov 21, 2023",6994.90,7010.99,6946.97,6961.80,6961.80,160615900.00
"Nov 20, 2023",6977.68,7011.07,6962.76,6994.90,6994.90,150491900.00
"Nov 17, 2023",6958.16,6977.68,6919.64,6977.68,6977.68,122926700.00
"Nov 16, 2023",6958.35,6964.18,6906.60,6958.02,6958.02,122880300.00
"Nov 15, 2023",6862.34,6985.60,6862.34,6958.22,6958.22,181839600.00
"Nov 14, 2023",6838.05,6886.82,6829.96,6862.07,6862.07,152609900.00
"Nov 13, 2023",6809.27,6857.11,6809.27,6838.32,6838.32,187630200.00
"Nov 10, 2023",6838.24,6843.97,6801.93,6809.27,6809.27,133618500.00
"Nov 9, 2023",6804.12,6865.09,6793.77,6838.24,6838.24,120495400.00
"Nov 8, 2023",6843.66,6843.93,6760.11,6804.12,6804.12,151412300.00
"Nov 7, 2023",6878.85,6887.03,6806.89,6843.80,6843.80,193087900.00
"Nov 6, 2023",6788.86,6878.85,6787.24,6878.85,6878.85,228787500.00
"Nov 3, 2023",6751.40,6826.63,6748.71,6788.86,6788.86,231714900.00
"Nov 2, 2023",6642.70,6785.01,6642.70,6751.40,6751.40,221191100.00
"Nov 1, 2023",6751.95,6773.99,6639.83,6642.43,6642.43,206571400.00
"Oct 31, 2023",6735.90,6754.53,6666.42,6752.22,6752.22,195489700.00
"Oct 30, 2023",6758.67,6775.22,6692.79,6735.90,6735.90,157763400.00
"Oct 27, 2023",6714.53,6781.40,6713.95,6758.80,6758.80,163096100.00
"Oct 26, 2023",6833.99,6838.82,6704.53,6714.53,6714.53,168306200.00
"Oct 25, 2023",6806.91,6878.57,6806.91,6834.40,6834.40,153802700.00
"Oct 24, 2023",6741.84,6826.06,6738.54,6806.77,6806.77,141478700.00
"Oct 23, 2023",6849.18,6853.46,6730.89,6741.97,6741.97,168543100.00
"Oct 20, 2023",6846.44,6869.48,6803.20,6849.18,6849.18,194064800.00
"Oct 19, 2023",6927.64,6927.99,6840.38,6846.44,6846.44,205941400.00
"Oct 18, 2023",6939.63,6968.26,6908.30,6927.92,6927.92,187464900.00
"Oct 17, 2023",6896.30,6948.05,6892.24,6939.63,6939.63,176866700.00
"Oct 16, 2023",6926.93,6970.61,6878.27,6896.30,6896.30,341572100.00
"Oct 13, 2023",6934.89,6973.76,6902.07,6926.79,6926.79,216335000.00
"Oct 12, 2023",6931.90,6986.89,6931.90,6935.16,6935.16,218808900.00
"Oct 11, 2023",6922.20,6965.84,6914.73,6931.76,6931.76,178123100.00
"Oct 10, 2023",6891.47,6954.02,6891.47,6922.20,6922.20,123670000.00
"Oct 9, 2023",6888.53,6929.98,6880.55,6891.47,6891.47,139709000.00
"Oct 6, 2023",6875.11,6913.02,6875.11,6888.53,6888.53,142303700.00
"Oct 5, 2023",6886.10,6934.81,6874.84,6874.84,6874.84,167955300.00
"Oct 4, 2023",6940.90,6943.28,6839.87,6886.59,6886.59,196090300.00
"Oct 3, 2023",6961.47,6992.64,6940.90,6940.90,6940.90,167668900.00
"Oct 2, 2023",6939.90,6984.59,6939.62,6961.47,6961.47,157872500.00
"Sep 29, 2023",6937.84,6978.60,6937.84,6939.90,6939.90,165659400.00
"Sep 27, 2023",6923.81,6970.86,6913.36,6937.84,6937.84,154929800.00
"Sep 26, 2023",6998.11,7019.56,6913.83,6923.81,6923.81,222491300.00
"Sep 25, 2023",7016.99,7029.78,6994.45,6998.39,6998.39,182991900.00
"Sep 22, 2023",6991.48,7040.14,6985.97,7016.85,7016.85,155659000.00
"Sep 21, 2023",7011.69,7021.30,6974.02,6991.48,6991.48,138027800.00
"Sep 20, 2023",6980.33,7046.49,6980.33,7011.69,7011.69,146616600.00
"Sep 19, 2023",6936.38,6994.05,6934.72,6980.33,6980.33,135442200.00
"Sep 18, 2023",6982.80,6999.41,6928.78,6936.09,6936.09,153763100.00
"Sep 15, 2023",6959.20,7011.89,6945.08,6982.80,6982.80,346903000.00
"Sep 14, 2023",6935.34,6968.99,6927.69,6959.34,6959.34,171813100.00
"Sep 13, 2023",6934.12,6944.83,6903.24,6935.49,6935.49,163898700.00
"Sep 12, 2023",6963.40,6976.49,6928.24,6933.98,6933.98,174683500.00
